id	parent_paper	child_paper
0	46400	705578
1	66869	840203
2	85818	1659843
3	92078	166670
4	105843	2088805
5	105843	1897718
6	126278	126278
7	126278	126278
8	130081	871728
9	131058	795044
10	153089	936390
11	171022	2089561
12	179479	2868219
13	202896	2101068
14	210467	1313351
15	239798	239798
16	289354	1508424
17	358830	2814764
18	368257	1666522
19	368257	368257
20	377637	1757512
21	405556	1934885
22	422910	422910
23	423720	423720
24	434957	1418819
25	438618	2278455
26	452025	452025
27	514214	1632459
28	538330	538330
29	544700	748961
30	549532	2797237
31	581148	1363038
32	589482	2892475
33	620002	1838440
34	666202	1067787
35	669028	558460
36	676396	1598292
37	685030	478458
38	708495	1756231
39	708495	22105
40	714553	2081036
41	736397	736397
42	736397	2428889
43	737013	1803426
44	748961	207722
45	768552	2370870
46	789332	36749
47	808230	1605524
48	816410	816410
49	835332	1489284
50	854242	2855411
51	855505	549532
52	862920	1469954
53	880450	1268196
54	945662	2078139
55	958320	159144
56	1030869	1030869
57	1038694	1369109
58	1069610	1069610
59	1070655	1489284
60	1103990	1041813
61	1115555	1757512
62	1119485	1554284
63	1164163	9604
64	1176732	2847122
65	1199277	29210
66	1203727	1526796
67	1207718	3219198
68	1257923	609566
69	1321852	1321852
70	1322622	1322622
71	1326804	82967
72	1344989	238713
73	1361818	1732443
74	1375792	492304
75	1385339	1781796
76	1398506	1017786
77	1462134	1462134
78	1490480	2299545
79	1516046	1906773
80	1522509	1685535
81	1535478	2217839
82	1545541	2844396
83	1616323	2315726
84	1638409	1638409
85	1641980	1526796
86	1663433	1481145
87	1670224	935682
88	1670224	1670224
89	1700910	2797237
90	1709787	2888985
91	1709915	1366412
92	1750026	3047148
93	1756780	2335123
94	1788438	1788438
95	1789084	1388679
96	1816521	454920
97	1825277	198500
98	1838440	1249967
99	1887905	29210
100	1896150	1896150
101	1899825	1339578
102	1963998	2567981
103	2003413	795044
104	2020453	2235619
105	2098078	610631
106	2133740	2133740
107	2135072	1802957
108	2147759	2814764
109	2167193	1396356
110	2168494	2881950
111	2190427	1922567
112	2222002	198500
113	2240721	246302
114	2253272	2844396
115	2302472	2876924
116	2325797	1041813
117	2327232	310330
118	2365258	363764
119	2365258	2304985
120	2376639	1400970
121	2440264	2440264
122	2496064	2496064
123	2516499	549532
124	2517148	36749
125	2523459	114053
126	2527159	1002398
127	2531682	2253272
128	2575266	764978
129	2576670	418591
130	2619765	636059
131	2624871	608064
132	2649571	159144
133	2696056	1773615
134	2706621	841045
135	2770553	678593
136	2776206	1811429
137	2790660	2248279
138	2836759	1144354
139	2845852	675036
140	2859914	1400970
141	2890100	2819404
142	2931636	2931636
143	2934256	350051
144	2936865	2051907
145	2948846	2281318
146	2970760	2970760
147	3006278	2301498
148	3022188	2464297
149	3037657	2871954
150	3040778	1350638
151	3042511	1654170
152	3051827	1138182
153	3054176	1836763
154	3063313	2307471
155	3066413	30118
156	3081302	2259113
157	3081490	4444298
158	3084610	1370834
159	3092022	1400970
160	3165327	1497415
161	3181193	935682
162	3233913	2348193
163	3257255	178176
164	3283568	2359963
165	3284218	29210
166	3300370	4416126
167	3306458	718850
168	3320500	2749804
169	3349374	182544
170	3358995	1361921
171	3370664	2834317
172	3373183	2351005
173	3373209	2933758
174	3389829	2562274
175	3427763	2166446
176	3436942	3436942
177	3473987	43541
178	3486032	1541220
179	3487668	1304164
180	3506844	2933110
181	3512561	3045990
182	3519828	3357974
183	3530569	1525929
184	3535263	63670
185	3538622	92501
186	3567600	1788438
187	3594940	2426696
188	3594940	1080467
189	3594940	712458
190	3605773	2773287
191	3622314	2610556
192	3680480	3680480
193	3721681	2659129
194	3728291	3226067
195	3736454	3594940
196	3736454	1080467
197	3738498	1921146
198	3738930	2535076
199	3749780	3041993
200	3749780	626031
201	3750219	747363
202	3762120	1559435
203	3813392	2571283
204	3833227	1098269
205	3845982	1370834
206	3847449	2773287
207	3847449	2706785
208	3847825	163006
209	3920684	945662
210	3939464	3939464
211	3956659	1852406
212	3977080	1244183
213	3996243	666470
214	4002329	3366771
215	4010952	721108
216	4011285	2399699
217	4022676	2266387
218	4023459	4023459
219	4067148	159144
220	4069664	2386505
221	4096471	3499370
222	4112170	2167193
223	4112510	3666805
224	4114018	2164627
225	4139062	196511
226	4146020	3310044
227	4158452	2367009
228	4158452	2690688
229	4158452	1535478
230	4162553	1801673
231	4167262	3741098
232	4187653	989558
233	4190485	1327255
234	4204496	364073
235	4246070	3658102
236	4250983	2258980
237	4274198	2563802
238	4274198	2434022
239	4276154	990630
240	4331256	3135805
241	4341262	901019
242	4341401	3814207
243	4348175	3495756
244	4348175	3685007
245	4369339	4112170
246	4373825	364073
247	4374006	1814292
248	4393735	4477047
249	4408581	1584104
250	4430042	1376201
251	4436941	278835
252	4441658	2289770
253	4469287	3306009
254	4477626	3507700
255	4516463	2606603
256	4523902	1921146
257	4529527	226685
258	4560924	3029781
259	4560924	2528270
260	4561210	3239031
261	4583439	1937907
262	4589116	1512932
263	4606209	2905009
264	4633861	1223465
265	4647707	4113108
266	4681619	4163783
267	4732811	2365258
268	4743713	2809285
269	4745125	945662
270	4795177	2513780
271	4798250	712768
272	4801168	568653
273	4817615	2814764
274	4826230	4659309
275	4829831	3337925
276	4833911	2241491
277	4839958	4839958
278	4875760	3041993
279	4886144	2759284
280	4904874	4615371
281	4954126	58018
282	4954189	58018
283	4965088	3302623
284	4998895	4077459
285	5009732	3828263
286	5024748	331949
287	5025082	3833184
288	5113913	4907523
289	5131294	3683706
290	5169277	4144432
291	5170079	4393735
292	5229018	4098991
